vin,sellingprice
1g6dp567450124779,4909.240233095632
1gtw7fca7e1902207,21937.29601366991
jn8az1mw6dw303497,19507.22126522166
2g1wf5e34d1160703,8772.375880631613
1n6aa0ec3dn301209,23636.179103386006
wvwvd63b93e175638,2282.0055308624324
5npeb4ac4dh809686,12191.038414333298
1fm5k7b97dgb16454,14553.976659542022
jn1cv6ar5bm411441,17520.916024691644
3gnfc16j77g158033,9326.01129195033
2g1wb5e30d1140332,13556.851789097367
jf2sjadc1fh417932,24111.158116021226
1fmcu0f75eue15137,3961.153879440646
jn8az18w29w128991,12357.277945769842
3fadp4ejxcm158293,4945.071492997173
1fahp2e96dg230937,15756.109551881298
knaft4a24b5326931,6614.216647296669
wbaeb5c57ac225968,26058.913216351313
1gndt13sx62216518,5267.2509247622365
3gcukrec4eg454516,27685.804464155746
kmhgc4ddxcu168540,17609.4757388257
2gnfleek4c6221421,13461.416774952708
3gnda23d06s523147,2128.3576872656686
ja32u1fu0du008397,9230.15989322686
1fbne3bl1eda46070,19981.221307326414
2b8gp54l01r117477,443.67178048087953
1fadp3f28el323070,12465.373540447825
1g3nl52f32c104253,1708.5984426239065
yv4992dz6a2034805,14630.578972979003
1gmdv33l15d274975,3885.5147574089297
3fahp0ha5cr314457,11193.527059309867
kndjp3a5xe7072298,14411.777136097826
jh4cu2f49cc003441,18461.97668763501
1g2zm177284122405,7957.134053778801
1hgcp2f38ba122870,12358.731944324634
1n4aa5ap0bc847988,17027.86985708965
jt2bf28kx10337262,3128.945073059751
2gtek13v961325160,8017.651713746642
1n4aa5ap7ac811245,15575.034856428038
1fadp3k25el151313,12870.133460765166
4t1bf1fk9eu774829,15196.133129506225
waugfafc2en098654,33359.17956199274
3fa6p0hr2dr238002,11993.793913800668
3fahp0ja5cr276738,9713.862297381518
2g1fa1e30d9157807,16141.235807123488
2t3bfrev4dw038526,17540.451628690593
5yfbu4ee8dp189095,11717.163958467485
yv1sz59h741164165,3574.382678889333
1hgcr2f84da020569,17030.805862130706
1c4njcba3fd124498,17965.58377219648
1n4aa51e09c834554,10199.055778385973
1fmfu17525la35873,7053.753655024589
3vw2k7aj6dm209150,10016.492077856341
5j6rm3h7xdl004568,21059.06873894683
waufgafb8an026867,18759.90444295588
3fahp0ha0cr307061,12100.593251313603
1lnhm87a82y644589,935.4560493520094
2hkrl18022h576543,1490.9766634299158
2t1burhe2ec210372,14292.555191133319
nm0ge9f77e1151554,19941.373493821808
5xxgr4a66dg133932,18428.56968963384
5j6re48348l033196,7433.379682939479
1gnlvfed5aj252374,12885.08836437948
1ftfw1e69dfd71401,32279.014798825905
kmhdh4ae8du795370,8436.640159806948
1n4al2ap3cn408119,12769.67076394437
waugn74f37n041255,18681.101579261238
5xykt3a63eg479116,15409.271299033348
4t1bf3ek2au532729,9638.836552882833
knafx4a62e5225883,11320.26679584607
jnkcv51e63m329092,3409.4059046142356
jn1by1ar2cm394735,27823.682364286236
1j4fa59s0yp723644,7545.184269030803
1fahp3f28cl166154,8603.606654384046
jtebu4bf2bk113263,25931.04597246245
2c4rc1gg7er180355,25725.76753294497
2hges16374h588764,2628.140110491371
wddgf81x78f169485,15137.100880854265
2c4rdgcg3er388917,16706.08397409907
1n4al2ap5cn424564,11396.644741774451
1ftfw1et8cfb48321,25420.80191913333
3fa6p0h71er259567,16354.321818587943
1c3cdzab7dn610562,9535.181161064887
1c6rd7ft7cs204333,14465.089284499005
5npeb4ac3ch290449,11661.828239649114
1ftfw1ef3bfc35956,24625.685847143963
jf1znaa10d1719373,16798.29710914616
2c4rdgegxer431226,19402.19792198803
1n4al3ap9ec105740,13443.392638954596
wbxpa73464wc36440,3906.0464415468596
yv440mdb2f2610299,29758.938129066617
2c3ccakt9eh306087,25124.331916385916
2d4fv47tx6h156976,2486.9695681320572
1fbss3bl5edb01101,23214.34478696925
1ftww31p86ec33609,14331.11098862694
1g6dw677x50225462,3388.044424270589
1ftfw1r69dfb74948,47040.153774703
1fahp2e82eg107578,19267.725440516548
jn1cv6ek3cm422386,22369.312885619118
3fa6p0h7xdr271747,13666.54544892755
1g6dw677550216409,4131.120284449262
2gkaluek7c6276284,18094.981124315775
4t4be46k09r098027,5462.631710879761
1ft8w3dt0deb21420,42989.57950697669
knafe122845051705,1754.5889134449171
1g1pe5sb9e7114453,13010.693507892433
3c4pddbg6ct222361,8602.959803651698
km8jn72d05u127017,3691.876766356223
5tfhw5f13cx249936,21987.407110822896
1g1pc5sb7d7144958,6808.206936982651
1gnwkmeg6br194783,20839.50477972699
1g1zd5eb9af288546,7715.738451473062
1j4gw48s44c336467,3611.82813558415
2melm74w1vx603619,508.95109070674516
knafx4a67e5127187,10987.421431057845
2t1br32e14c264462,4079.5613619046726
1g1zd5eu9bf201988,7240.380580584989
kndup131046562894,2376.324891338285
2g1wf5ek1b1281581,5252.253830496133
2t2gk31u77c011844,13561.408778745128
1ftnf1cf8ekd17420,18674.884723355324
waulc68e63a233402,5694.424458220986
jthgl46f875015124,16200.506366964237
5j6rm3h53cl025176,18813.837521448677
1fahp3fnxbw188972,8469.908674434431
wbabd33424jy97817,4734.350361897426
5uxfe83529l170811,21692.938349499185
jtdktud32ed584445,12997.999948988609
1g8aj55f77z187488,5114.324653773869
2c4rdgcg0cr204451,10432.285553913034
1n4aa5apxec438000,16620.96780591718
